Code,ProductName,Portal classification,Source,Status
GL401,Ghế Họp Tựa Lưới The One GL401,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL417,Ghế Họp Tựa Lưới The One GL417,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL418,Ghế Họp Tựa Lưới The One GL418,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL419,Ghế Họp Tựa Lưới The One GL419,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL420,Ghế Họp Tựa Lưới The One GL420,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL421,Ghế Họp Tựa Lưới The One GL421,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL423,Ghế Họp Tựa Lưới The One GL423,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL424,Ghế Hội Thảo Gấp Gọn The One GL424,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL424B,Ghế Hội Thảo Có Bàn The One GL424B,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL425,Ghế Họp Tựa Lưới The One GL425,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL426,Ghế Họp Tựa Lưới The One GL426,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL427,Ghế Họp Tựa Lưới The One GL427,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL429,Ghế Họp Đệm Xoay The One GL429,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL430,Ghế Họp Tựa Lưới The One GL430,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
