Code,SelectedURL,PublicAsset,NaturalResolution,Bytes,SHA256,ImageClassification,CorrectProduct,Watermark,QR,SupplierLogo,WrongCode,CategoryFallback,FakeUpscale,VisualStatus
SL719M,https://theone.vn/wp-content/uploads/2020/08/SL719M-1.jpg,/assets/product-packages/sl-chair-theone/products/SL719M/main.jpg,580x580,61870,2a9d3d8ba091c72e6a9928b42092b32c38380917bb3f44916c3bec031f2846cd,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL721M,https://theone.vn/wp-content/uploads/2020/08/SL721M-1.jpg,/assets/product-packages/sl-chair-theone/products/SL721M/main.jpg,580x580,61096,47c385236e8460b7537a9643ad12ee210d433ad082c6089714ece89fd4dfeea2,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL811M,https://theone.vn/wp-content/uploads/2020/08/SL811M-1.jpg,/assets/product-packages/sl-chair-theone/products/SL811M/main.jpg,580x580,64355,1e1a554d94d490fa9394c3a1f1735b8d64e4133dc202e839df156f796df47973,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL901,https://theone.vn/wp-content/uploads/2020/08/SL901-1.jpg,/assets/product-packages/sl-chair-theone/products/SL901/main.jpg,580x580,61606,8603d6abeb79af72c6fe4a3a1eb648e553e3431e45c53cf3b5b0046268ae01d1,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL903,https://theone.vn/wp-content/uploads/2020/08/SL903-1.jpg,/assets/product-packages/sl-chair-theone/products/SL903/main.jpg,580x580,58604,6dd79bd6c3a08a8cd535f6e6c140bfa17db8f2b48f1c1b6ae0a10aedc04f8faa,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL904,https://theone.vn/wp-content/uploads/2020/08/SL904-1.jpg,/assets/product-packages/sl-chair-theone/products/SL904/main.jpg,580x580,62130,e15f39e56f9345c71b156e805aac8294d3fb162d0acce1bfd75f0b7fd6ca5c98,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL905,https://theone.vn/wp-content/uploads/2022/02/SL905.jpg,/assets/product-packages/sl-chair-theone/products/SL905/main.jpg,580x580,34803,3038de0b790cfff812d2bdb80cee296b1395a73c2b2f27853ac7b64e1a40b009,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL906,https://theone.vn/wp-content/uploads/2022/05/SL906.jpg,/assets/product-packages/sl-chair-theone/products/SL906/main.jpg,580x580,33980,71a989bff2541d3268c995d8a75d3b4b44b52f749c46eed392796f5cc03c339b,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL908,https://theone.vn/wp-content/uploads/2020/08/SL908-theonevn.jpg,/assets/product-packages/sl-chair-theone/products/SL908/main.jpg,580x580,36000,36565888ad6acfeeb3daf04cff82fcf61b30938311d551ed86bc8a8e81b923da,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL926,https://theone.vn/wp-content/uploads/2022/02/SL926.jpg,/assets/product-packages/sl-chair-theone/products/SL926/main.jpg,580x580,34883,5bd5544f7664a7703965e3f6b2e1d05b9f76570fd22db22afc7733a9a8589454,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL933,https://theone.vn/wp-content/uploads/2022/08/SL933.jpg,/assets/product-packages/sl-chair-theone/products/SL933/main.jpg,580x580,34582,ced8fceccca2691c78c6972b6096e53c703b6eba8b472f7d9f978eadbd1d326c,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL9700M,https://theone.vn/wp-content/uploads/2020/08/SL9700M-1.jpg,/assets/product-packages/sl-chair-theone/products/SL9700M/main.jpg,580x580,60584,7b080622a314da1197d6744398ba0300ee9fd3e3e63b2ecc27371e5ca877ad96,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
