Code,ProductName,PortalCategory,SubCategory,Source,OfficialSourceFound,OfficialProductURL,Status,PriceVND,Size,Material,DescriptionCompleteness,ImageStatus,NaturalResolution,CorrectProduct,Watermark,QR,SupplierLogo,FakeUpscale
SL719M,Ghế Họp Chân Quỳ The One SL719M,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl719m.html,ACTIVE_OR_UNSPECIFIED,1144000,W580 x D690 x H990 mm,"Da, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL721M,Ghế Họp Chân Quỳ The One SL721M,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl721m.html,ACTIVE_OR_UNSPECIFIED,1111000,W580 x D615 x H945 mm,"Vải, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL811M,Ghế Họp Chân Quỳ The One SL811M,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl811m.html,ACTIVE_OR_UNSPECIFIED,1309000,W595 x D665 x H965 mm,"Vải, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL901,Ghế Họp Chân Quỳ The One SL901,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-ho-cao-cap-sl901.html,ACTIVE_OR_UNSPECIFIED,2915000,W590 x D690 x H1050 mm,"Da, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL903,Ghế Họp Chân Quỳ The One SL903,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl903.html,ACTIVE_OR_UNSPECIFIED,3520000,W590 x D710 x H1090 mm,"Da, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL904,Ghế Họp Chân Quỳ The One SL904,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl904.html,ACTIVE_OR_UNSPECIFIED,3179000,W590 x D710 x H1080 mm,"Da, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL905,Ghế Họp Chân Quỳ The One SL905,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-phong-hop-1902.html,ACTIVE_OR_UNSPECIFIED,2981000,W595 x D700 x H1030 mm,"Da cao cấp, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL906,Ghế Họp Chân Quỳ The One SL906,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-phong-hop-SL906.html,ACTIVE_OR_UNSPECIFIED,1529000,W590 x D690 x H990 mm,"Da, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL908,Ghế Họp Chân Quỳ The One SL908,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-phong-hop-SL908.html,ACTIVE_OR_UNSPECIFIED,2695000,W590 x D685 x H980 mm,"Da cao cấp, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL926,Ghế Họp Chân Quỳ The One SL926,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl926.html,ACTIVE_OR_UNSPECIFIED,3234000,W650 x D700 x H1130 mm,Da cao cấp,COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL933,Ghế Họp Chân Quỳ The One SL933,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl933.html,ACTIVE_OR_UNSPECIFIED,3355000,W610 x D685 x H1050 mm,"Da cao cấp, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL9700M,Ghế Họp Chân Quỳ The One SL9700M,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl9700m.html,ACTIVE_OR_UNSPECIFIED,3586000,W620 x D640 x H1025 mm,"Da, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
