Code,ProductName,Price,Size,Material,Image,Resolution,GalleryCount,SourceStatus,ImageStatus
GL412,Ghế Họp Tựa Lưới The One GL412,1287000,W580 x D570 x H950 mm,Khung thép sơn; tựa nhựa bọc lưới; đệm lưới; tay nhựa,/assets/product-packages/gl4xx-theone/products/GL412/main.webp,2000x1446,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL417,Ghế Họp Tựa Lưới The One GL417,627000,W510 x D645 x H880 mm,Khung thép sơn hoặc mạ; tựa nhựa bọc lưới; đệm lưới,/assets/product-packages/gl4xx-theone/products/GL417/main.webp,2000x1446,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL418,Ghế Họp Tựa Lưới The One GL418,1221000,W625 x D580 x H1000 mm,"Khung và tay nhựa; đệm, tựa bọc vải; chân thép sơn hoặc mạ",/assets/product-packages/gl4xx-theone/products/GL418/main.webp,1000x723,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL419,Ghế Họp Tựa Lưới The One GL419,979000,W550 x D630 x H875 mm,Khung thép mạ; tựa nhựa bọc lưới; đệm lưới; tay nhựa,/assets/product-packages/gl4xx-theone/products/GL419/main.webp,2000x1446,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL420,Ghế Họp Tựa Lưới The One GL420,572000,W510 x D625 x H875 mm,Khung thép sơn hoặc mạ; tựa nhựa bọc lưới; đệm lưới,/assets/product-packages/gl4xx-theone/products/GL420/main.webp,2000x1446,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL421,Ghế Họp Tựa Lưới The One GL421,935000,W580 x D615 x H910 mm,Khung thép sơn hoặc mạ; tựa lưới; đệm mút bọc lưới,/assets/product-packages/gl4xx-theone/products/GL421/main.webp,1000x723,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL423,Ghế Họp Tựa Lưới The One GL423,1353000,W565 x D580 x H970 mm,Khung thép mạ; tựa nhựa bọc lưới; đệm bọc vải hoặc PVC,/assets/product-packages/gl4xx-theone/products/GL423/main.webp,2000x1446,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL424,Ghế Hội Thảo Gấp Gọn The One GL424,1474000,W600 x D555 x H820 mm,Khung tựa nhựa bọc lưới; đệm lưới; chân thép sơn,/assets/product-packages/gl4xx-theone/products/GL424/main.jpg,580x580,1,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,LOW_RES_EXACT_SOURCE_LIMIT
GL424B,Ghế Hội Thảo Có Bàn The One GL424B,1617000,W640 x D555-830 x H820 mm,Khung tựa nhựa bọc lưới; đệm lưới; bàn nhựa; chân thép sơn,/assets/product-packages/gl4xx-theone/products/GL424B/main.webp,1000x723,3,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL425,Ghế Họp Tựa Lưới The One GL425,1089000,W520 x D600 x H930 mm,Khung tựa nhựa bọc lưới; đệm bọc PVC; chân thép mạ,/assets/product-packages/gl4xx-theone/products/GL425/main.webp,1000x723,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL426,Ghế Họp Tựa Lưới The One GL426,733700,W570 x D520 x H935 mm,Khung tựa nhựa bọc lưới; đệm lưới; chân thép sơn hoặc mạ,/assets/product-packages/gl4xx-theone/products/GL426/main.webp,1000x723,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL427,Ghế Họp Tựa Lưới The One GL427,1078000,W635 x D570 x H1010 mm,Khung tựa nhựa bọc lưới; đệm bọc PVC; chân thép sơn hoặc mạ,/assets/product-packages/gl4xx-theone/products/GL427/main.webp,2000x1446,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL429,Ghế Họp Đệm Xoay The One GL429,1243000,W615 x D620 x H930 mm,Khung thép sơn hoặc mạ; tựa lưới; đệm PVC; tay nhựa,/assets/product-packages/gl4xx-theone/products/GL429/main.jpg,580x580,1,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,LOW_RES_EXACT_SOURCE_LIMIT
GL430,Ghế Họp Tựa Lưới The One GL430,2299000,W560 x D620 x H1075 mm,Khung tựa nhựa bọc lưới; đệm bọc vải; chân thép mạ; tay ốp nhựa,/assets/product-packages/gl4xx-theone/products/GL430/main.webp,2000x1446,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
