Code,ProductName,ProductDBPriceVND,OfficialDimensions,OfficialMaterial,OfficialSourceURL,MainImage,Resolution,GalleryCount,RejectedCount,ImageStatus,DataStatus
GL326,Ghế Trưởng Phòng Cao Cấp The One GL326,4191000,Rộng 620 x Sâu (645÷1600) x Cao (1180÷1260) mm,"Khung nhựa bọc vải lưới, đệm mút bọc vải lưới xốp, tay nhựa, chân thép mạ",https://theone.vn/san-pham/ghe-gl326,/assets/v10-04/gl3xx-theone/products/GL326/main.jpg,580x580,1,4,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL328,Ghế Lưới Lãnh Đạo The One GL328,2794000,Rộng 645 x Sâu (645÷900) x Cao (1130÷1210) mm,"Khung nhựa bọc vải lưới, đệm mút bọc vải lưới xốp, tay nhựa, chân hợp kim nhôm",https://theone.vn/san-pham/ghe-gl328,/assets/v10-04/gl3xx-theone/products/GL328/main.jpg,580x580,1,4,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL329,Ghế Xoay Lưới Văn Phòng The One GL329,1309000,Chân nhựa rộng 580 x sâu 630 x cao 1100-1195 mm Chân mạ rộng 580 x sâu 630 x cao 1105-1180 mm,"Khung nhựa bọc vải lưới, đệm mút bọc PVC, chân tay nhựa",https://theone.vn/san-pham/ghe-gl329,/assets/v10-04/gl3xx-theone/products/GL329/main.jpg,580x580,1,15,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL331,Ghế Lãnh Đạo Hiện Đại The One GL331,1892000,Rộng 650 x Sâu 680 x Cao (1170÷1250) mm,"Khung tựa nhựa bọc vải lưới, đệm mút bọc PVC, chân thép mạ",https://theone.vn/san-pham/ghe-gl331,/assets/v10-04/gl3xx-theone/products/GL331/main.jpg,580x580,1,4,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL332,Ghế Làm Việc Ngả Lưng The One GL332,3432000,Rộng 655 x Sâu (610÷900) x Cao (1180÷1260) mm,"Khung tựa nhựa bọc vải lưới, đệm mút bọc PVC, chân thép mạ, tay nhựa",https://theone.vn/san-pham/ghe-gl332,/assets/v10-04/gl3xx-theone/products/GL332/main.jpg,580x580,1,8,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL333,Ghế Lãnh Đạo Lưng Cao The One GL333,2189000,Ghế chân nhựa: Rộng 600 x Sâu (610÷1580) x Cao (1190÷1250) mm Ghế chân mạ: Rộng 600 x Sâu (595÷1660) x Cao (1210÷1290) mm,"Khung tựa nhựa bọc vải lưới, đệm mút bọc vải, chân thép mạ/nhựa, tay nhựa+thép mạ",https://theone.vn/san-pham/ghe-gl333,/assets/v10-04/gl3xx-theone/products/GL333/main.jpg,580x580,2,9,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL334,Ghế Văn Phòng Ngả Lưng The One GL334,2673000,Rộng 610 x sâu 660-1610 x cao 1240-1320 mm,"Khung tựa nhựa bọc vải lưới, đệm mút bọc PVC, chân thép mạ, tay nhựa",https://theone.vn/san-pham/ghe-gl334,/assets/v10-04/gl3xx-theone/products/GL334/main.jpg,580x580,1,4,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL335,Ghế Lưới Lưng Cao GL335,2398000,Rộng 680 x Sâu (585-880) x Cao (1220-1300) mm,"Khung nhựa bọc vải lưới, đệm mút bọc PVC, Chân thép mạ, tay nhựa",https://theone.vn/san-pham/ghe-gl335,/assets/v10-04/gl3xx-theone/products/GL335/main.webp,2000x1446,3,19,CLEAN_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL336,Ghế Xoay Lưới The One GL336,2596000,(mm) Chân mạ: Rộng 620 x Sâu 570-1490 x Cao 1210-1290 mm. Chân mạ M1: Rộng 620 x Sâu 570-1490 x Cao 1190-1270 mm.,"Khung nhựa bọc vải lưới, đệm mút bọc vải, Chân thép mạ, tay nhựa",https://theone.vn/san-pham/ghe-gl336,/assets/v10-04/gl3xx-theone/products/GL336/main.jpg,580x580,1,5,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL338,Ghế Xoay Lưới Cao Cấp GL338,1507000,Chân nhựa: rộng 610 x sâu 590 x cao 1150 -1245 mm. Chân mạ: Rộng 610 x Sâu 590 x Cao 1180 -1260mm.,"Bọc lưới, đệm lưới/PVC. Chân nhựa hoặc mạ.",https://theone.vn/san-pham/ghe-gl338,/assets/v10-04/gl3xx-theone/products/GL338/main.jpg,580x580,1,5,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL343,Ghế Xoay Lưới Cao Cấp GL343,2475000,Rộng 625 x Sâu 565-850 x Cao 1225-1305 mm.,Khung nhựa bọc lưới đệm PVC / Chân mạ.,https://theone.vn/san-pham/gl343,/assets/v10-04/gl3xx-theone/products/GL343/main.jpg,580x580,1,4,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL345,Ghế lưới lưng cao The One GL345,3179000,W695 x D580-890 x H1130 – 1245 mm,Khung tựa nhựa bọc lưới; đệm mút bọc vải; tay nhựa; chân thép mạ,https://theone.vn/san-pham/gl345,/assets/v10-04/gl3xx-theone/products/GL345/main.webp,2000x1446,2,19,CLEAN_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
